S.no,Review
1632,"I love Alexa and when I had the chance to add Show to my home... I jumped at it.  But... I'm a member and my Show doesn't know I paid for the extras with my Echo (now in the upstairs bedroom.  If I am supposed to pay more for having Show added to my home, then I'm afraid to ask &#34;What's the point?&#34;"
1633,Purchased as a more &#34;personal&#34; contact vehicle for engaging with long distance grandchildren. Works perfectly in every regard. Resolution and sound both better than expected. Highly recommend.
1634,"Works well, pictures awesome! Sound could be better. Must be on the same bandwidth as other Alexa devices for whole home music. 2.4ghz vs 5ghz."
1635,"I am pleased with the Echo Show, from the sound of the music and the words to the tunes to the news and weather. The color on the screen for my photos could be better."
1636,Echo Show is my personal assistant! Awesome!!!
1637,"The packaging was beautiful and then there she was!! We have 2 dots and an echo plus already. Now we have the show and we love it. An echo for each room!You can also say &#34;Alexa, turn off the screen&#34; and it will go black. This is good for sleeping."
1638,"The ability to respond with the accuracy and variety of information provided by Google search has spoiled me.I had originally expected to see that the same type of search engine in the Echo.Not so, the ability of Alexa to provide such detailed information is not part of the package.Perhaps improvements are in the offing with further updates."
1639,"My daughter has an Echo Show and she told me how much she loved it. I bought a white one for my kitchen and absolutely love it!  It has all the features of the others plus great extras. The sound system is awesome. I also own the original Echo Tower, Dots and Spot. Each are great and have their uses around my house. I highly recommend all of these products."
1640,Really like the show me feature. I also like video calls with others.
1641,"I love this device.  I bought it simple so that I can have an alarm clock with my Amazon Echo.....and during Prime day for the price you couldn't beat it.  But, I have Sonos and Big Ass Fan lights that I am able to control with this device.  It's perfect and getting better all the time."
1642,The ase of participating with Echo
1643,"I like the weather options but Alexa search compacity needs improvement. She aint no Google. Alexa gets our requests probably around 20% of the time. Currently Alexa doesn't do YouTube either. This is a huge drawback and why The echo show dropped in price.  International radio via tune in is awesome but again her search engine, its like pulling teeth to get to anything."
1644,Love it!!
1645,LOVE!! i still haven't figured out all the best things we can do with it.
1646,"Easy to use, Answers all my questions,Hands free, What's not to like , It may not be perfect but it is  a sign of the times to come, can be connected to smart home items, I enjoy it totallly,, Keeps your home connected"
1647,This product is amazing! I love it!!! Best Buy!!! Only thing missing is Bluetooth
1648,It’s great
1649,The Echo Show works great. I enjoy  very much.
1650,Works with Blink video cameras.  Does not work with You Tube.
1651,I love the simple set up I love the fact that it has all the answers to most of the questions that I have I bought one for everybody in my family so we can all be like the Jetsons
1652,The only draw back is it stops every once in awhile in the middle of a song .
1653,Great product!
1654,"Echo is my teacher English, he is very funny,but sometimes he does not listen to what is said."
1655,Ight
1656,awesome product! I am in the process of having every room in my house set up with automation and The Show is now my favorite device!
1657,"We’ve had the original Echo for quite some time and just recently added the Show.  It was simple to setup and more inviting to use with the visual interface.  The Echo is being used as the primary interface for my connected home system which is currently only controlling lights and switches.  I look forward to expanding on that capability.  We also use it for maintaining lists, as a music player, general information, and entertainment.  I haven’t used the Show to shuffle through our favorite  photographs but will start that soon."
1658,These things are great!
1659,bought two of these. One for my kitchen and the other for my sewing room. Its great if I need a recipe or need to know how to do something.  I am still learning everything it can do.
1660,"Love how it shows the song info on the screen if playing... also time, notifications, news, etc!"
1661,"Alexa takes some getting used to, but the picture quality is great, the touch screen is very responsive and smooth. Speakers are better than expected as wellFour stars out of five"
1662,Love it
1663,"I like the option for white, but it’s bizarre that it comes with a black cord. I have a white kitchen, so now I have this stands-out-like-a-sore-thumb black power cord. For aesthetic purposes, I was happier with my year-old white Echo (not Show) because it came with a white powercord. This seems like a major design flaw in the “white” option. I strongly urge Amazon to change out the powercord to white."
1664,I am very pleased with the Echo Show! I love that it has so many nice features. I highly recommend it.
1665,The ease of set up and overall functionality makes this Echo show worth every penny.  I especially like setting my background screen and being able to set affirmations that I use as personalized reminders.
1666,I love it!  I wanted it primarily for the kitchen.  In addition to other common services I wanted it to use ALLRecipes and Cook's Illustrated recipes
1667,"Easy to use. Great for recipes, listen to music, see movies, movie trailers, so much to do...."
1668,I love being able to see information that Alexa gives.  When notifications are turned on it lets you know when your order will be delivered and it also tells you what the order is. You can use the Echo screen to pull up details of your orders. You can use the Alexa skill to make calls from uhyour Echo.
1669,Great sound and video!
1670,"really like it,"
1671,"Love my Echo Show!! Now I can listen to music, get recipes, and so much more!!! I highly recommend the Echo for everyone!!"
1672,"Easy to set up. Plug it in then make some selections for your preferences such as language, temp C or F etc. I am getting more familiar with it and will be adding my calendar and appointments."
1673,I like the variety of stuff that the echo show offers.
1674,I love it!!!
1675,I wish it did more with internet searches.  I do like the feature it has
1676,I bought this after visiting a friend who had one and it is great.  I understand the frustration of not having YouTube though.  Still good to have-love seeing the words to songs and if you have the Ring doorbell-you never have to get up from your chair...laziness at it's best!  LOL  All in all- a great product with good speakers.
1677,Good smart home gadget.
1678,Love the speakers and the screen.
1679,No YouTube
1680,I loved everything about this item. Quick response time and very sensitive to me speaking from the other end of the house.
1681,Bought it for my mother
1682,It is great. But it would be better there was a way to use headphones with it.
1683,"So far so good,  much better sound than my Echo Dot"
1684,Clear screen and great picture
1685,I love it. It is compatible with many of my cameras and it does everything that the echo dot does.
1686,I have it in the kitchen. Great for news or music in the a.m. I can video call my daughter and grand kids. I really dig it!
1687,"I absolutely love this thing. And I love AMAZON because my Echo Show went bonkers and all it took was a brief chat and Voila, a new one to replace it is on the way. I was floored when the screen started blurring and shaking and jumping and missing part of its data. Alexa still talked but I couldn't watch movies. SO HAPPY that Amazon is so easy to deal with and makes good on its products without any hassle at all."
1688,"Works well for recipes and references. Nice device, just the right size."
1689,Works well
1690,"Works fine, I just realize I don’t need this because I don’t use it."
1691,"It has a screen, microphones, speaker, and alexa lives inside.  Yup it is an Echo Show.  Expectations met."
1692,This is very user friendly
1693,👍🏻
1694,Let’s start with.Dislikes: Now I want to buy 7 more to have them all over my house.Do I even need to add my likes now? HahaAwesome fun and useful. Nothing else to say.
1695,"An outstanding piece of Technology, I use it everyday for information, scheduling and general information.  Awesome Amazon, keep improving with AI."
1696,This was an impulse buy and I am super happy I made the purchase. I love this so much I immediately bought my parents one. now we can video chat easily! I love all the features and how easy this is to use and set up.
1697,I like it
1698,"Great product, great price on Prime Day.  Thanks Alexa!"
1699,Still trying to figure out how to link to Bluetooth speaker.
1700,Wish there were more skills
1701,"Still learning it. We have just started integrating the smart devices in our home with the Echo product line. We now have the Show, the Spot, two Dots and a kids Dot. Having trouble getting them to call each other but still working on it."
1702,"Great improvement over the original Echo.  Like the ability to see lyrics to songs, watch Prime TV and get other visuals.  The little hints about things to try that appears across the bottom sparks the imagination."
1703,Love it!
1704,"Sound is great,video is great. Now I just need to learn everything it can do. Where can I see videos (youtube), listen to music. watch the news"
1705,Great addition to our Alexa family. Great video also.
1706,"If you belong to amazon prime, I would think that you could watch any video on it that was in the library.  You can with prime music"
1707,Starting my day!
1708,Nothing to dislike and it does a lot more than I expected
1709,I bought this specifically so my wife could look at our Arlo security cameras from the bedroom when I’m at work. The system worked for three days and now it just gives me a error message. Very disappointed due to the fact that they advertise that these systems work together. I gave four stars because it does everything else very well.
1710,Love it
1711,It is awesome. I love being able to turn my lights on so I don’t have to walk into a dark home. I also get to video chat with my nephews who live states away by just asking Alexa to call.
1712,Super easy set up! Great features! FUN!
1713,I love the size and the videos are a good quality.  The sound is awesome too.
1714,Home
1715,Bought for my older grandparent to help with reminders. Would recommend to anyone with someone in their life with dementia or memory loss. Helps my grandmother remember to take medications and do daily task. She loves it because she can listen to music and ask questions
1716,Kids like it for games.  Showing the lyrics for songs is neat.
1717,Need to be able to connect to more 3rd party viceo apps
1718,Glad I upgraded my aka
1719,Still leaning about it. The price was right!
1720,"I own two dots, a tap and a show. I love the echo show. Sound quality is amazing compared to the dots. I use mine constantly to create shopping list, kitchen and laundry timer, and news updates. But most of all I have the all throughout the house and I play music throughout using the group settings"
1721,I absolutely love my Show!
1722,Echo Show - White&nbsp;Great new addition to our Alexa home solution and now I can call back home and video chat directly from my phone. Great way to stay in touch with family.
1723,"It's an echo with a screen, hence still needs work. Has me considering google home now."
1724,Great product
1725,"I like the fact that the messages are visual now as well as audible.I am puzzled because it will light up and make the &quot;notification&quot; sound but when I ask Alexa to read my notifications, she tells me that there are no new notifications.  This has happened at least once a day for over a week now."
1726,While I loved Alexa....this is a whole new level. Love it. Fun to watch movie trailers. Weather is so much more complete. When you listen to music....the lyrics appear. Still discovering all Echo Show can do. Highly recommend. Takes Alexa to a completely new world.
1727,Nice product but as intelligent as we thought or had hoped.
1728,The tech isn’t there. It doesn’t understand most common words and is basically a glorified radio
1729, 
1730,Love it!  We have other echoes and love those so I bought this on prime day!  No regrets.  Love that I can connect to my Ring and see the front door.  Yhe kids like seeing the lyrics to songs and sing along. .
1731,"I love it! Plays great music, movies, and so much more. I does lag when u want to see your arlo security cameras thou. So far so good. Wish it had a longer cord."
1732,Love the echo show. The video quality is good and of course sound is good too.
1733,Love it. It is in my kitchen so I can watch Prime Video while cooking.
1734,Love all of it!!!
1735,Great Product
1736,We are very pleased with this item. The display is clean and crisp and easy to read. We enjoy trying the suggested things to try asking Alexa. We use the timer feature quite a bit and have added our calendars and contacts. We are still exploring the many skills available.
1737,Device has great speakers and the screen quality is phenomenal.
1738,"We now have a dot, spot, echo and show and love the show and spot best. The show has great sound and my wife loves the display for weather, recipes and sing alongside. Super deal."
1739,It doesn’t play you tube videos
1740,"Was working great útil 1 week algo, í have it for a month, but it started flickering,  and in the support forums they say it is a known isue,  but it has more the 4 months reported and There is no solución."
1741,We like the video calling feature. We got this so we can be in contact with our elderly parents and it works well
1742,The sound on these is terrible. It’s like a tin can. I love my echo but this item is awful.
1743,I have been waiting for the Echo Show to go on sale and it was worth the wait. It was easy to set up and start using
1744,Bought this on Prime day
1745,"This was my 4th echo device, 1st echo show  it seemed to have huge potential, and I really wanted to like it, but soon found out it is quite limited. A bit disappointing, but not the end of the world, I used it like I use my other, screenless echos.... For a little under 2 month, when the screen started flickering, mostly on the bottom of the screen but not just. A quick look in some forums made me understand it is pointless asking for a replacement, as some people had 2-3 devices replaced, only to start flickering again shortly after. Amazon are not providing any serious answers, and this has been going on for quite some time apparently.Long story short, I moved it to the hallway, and been using it as a very expensive... and bulky voice activated light switch for my hue lights. So like the headline suggests... Meh."
1746,Love it to play music works great for finding recipes. Need more family to have adapted machines to see
1747,"It seems a little less intuitive then the regular Echo Plus. It's also a little harder for it to pick up what you're saying.  When combined with the other four we have in the household, having to speak loud enough for it to hear was cross activating other ones, so we had to rename this one.  Overall it works well, but does not seem as adept at doing things as the original Echo Plus."
1748,This is my second Show.  I like them very much.  I use mine for music and my Arlo security cameras.  I can connect and display my outdoor cameras by voice. They are exceptionally capable devices.  I highly recommend them.
1749,Love seeing everything in the display!
1750,"I love this thing.  I enjoy watching the daily news, play music with lyrics (most songs), ordering my coffee..etc"
1751,We use Alexa primarily for listening to music and checking the weather. We are still learning other ways to use her. Everything has been ready and hands free so far. The speaker has great volume and sound!
1752,Plug n Play set up is simple. Added battery base to make it portable. Looking forward to using the hub.
1753,Great speaker i n this! I love this so much more than my alexa tap! It’s definitely fast in response and just so much prettier
1754,She's [Alexa] a bit dense and still learning the way I phrase things with my NY/NJ regional accent.
1755,Great sound and easy to set up. Purchased the Echo Plus because it had a built in Hub and would make it easier to connect to devices. I am hooked on Alexa!
1756,"I like the built in hub. Plus the unit sounds great, just wish it had a volume control on it."
1757,Happy with Echo Plus. Having fun learning what I can do with it.
1758,Love my new Echo Plus
1759,Omg we love it!
1760,Have had this around a week.. I love that I can control items in my house even if I’m not there.. makes me feel better about being away from the house and people don’t know that we are gone.. Alexa has not disappointed!
1761,I did not know it needed to be plugged in to work. So far my experiences have been positive.
1762, 
1763,"Was surprised to learn this can be used as a Bluetooth speaker for phones and tablets... it probably lists it in the description, but I missed that part!  It not quite the surround-like quality of a Bluetooth speaker in the $100+ range, but its very good none the less.  And with even basic access to Amazon Music there is a lot to listen to.  There's a huge number of things Alexa can do, learning more every day."
1764,It's fun to use... I love novelty gadgets... And Alexa really works well for me...
1765, 
1766,Awesome device to have in home.  Full of very useful information.  Don't have to us e my phone to answer spur of the moment questions.
1767,I like the echo plus it's wonderful the least thing I don't like is it doesn't turn off every
1768,"We love our Echo Plus. We like listening to music,the sound is great. All the features are nice! I do wish it was wireless so we could listen to music outside!"
1769,It’s a great product and easily set up just have to get it in sync with your personal set up
1770,Using as a hub and music.
1771,"Still need more AI built into it to interact better. It needs to continue the conversation sometimes if the finding / answer needs to be right. You can't keep stop Alexa and ask again and again. Also, it should be able to access the wikipedia, dictionary in many areas with better and fast access.Needs to hear us better. Also, we should be able to name it on our own instead calling Alexa or Echo. Price can be reduced a bit (value based) and updates should be auto and daily to improve it.  Connectivity to other home equipment can be imrproved as well.Good product with good sound quality, but needs more AI built in."
1772,"It was an excellent purchase. Echo Plus has sound quality, good size, I love it... I it!"
1773,Did take me about 6 hours to set it up I have a Galaxy S9 phone when I got used to the system setup it was in seconds edit my light bulbs adding a string of lights simple easy
1774,"Great speaker, great microphone response.  Loving my purchase and the beginning of my smart home."
1775,"This is my 3rd Echo and with the built in hub it works great !  Now I have an Echo in the Family Room, My Bedroom and My Home Office."
1776,I don'r know how to use it yet.  Need more explicit directions for the electeonically challenged.  I did not get the feee lifht bulb that was part of the package.
1777,Is amazing I have all 3 and I love this
1778,"Awesome product, very responsive!Alexa just needs more content and variety when it comes to music. It uses the Bing search engine instead of google. If only the two could combine. It would be a perfect product."
1779,"I am pleasantly surprised at the accuracy of Alexa. The unit is very responsive and can easily respond even with TV or music playing.I did pair two smart  bulbs and they go on, off and dim with ease using voice or app. Fidelity is very good for the size.My only regret is that I would have liked a silver model or a fabric cover but that is an unimportant issue."
1780,"We went to a Best Buy with the intention of buying Alexa products, instead were talked into the Google Home products. Bought the Google Home and the Home Mini... has trouble from the start setting them up, and they couldn’t understand my husband (Scottish accent). After days of the “oops, something went wrong” command.. we returned them and bought the Amazon Echo Show and the Echo Plus... so easy to set up! It connected immediately to my amazon account and was way easier to navigate. They both understand commands from my husband on the first try and have yet to give an error message. We have loved these two products and should have gone with what we intended in the first place! You won’t regret your purchase!"
1781,"Tons of features and skills, and a very good speaker with plenty of bass for music. You still need some work on the AI, in responding to random questions though. My Android phone is far better at those... with the Echo I still get a lot of &#34;hmm, I'm not sure&#34; or &#34;I don't have an opinion on that.&#34;"
1782,I like Alexa
1783,"So far it has been fun to use and learn how to deal with Alexa. I am still learning and finding out what can really be done, plus I am in the process of making my house a smart house, so there is no much to control with Alexa yet."
1784,I like the whole thing so far
1785,"Same specs as regular echo, but easier to use than getting a separate hub for smart lights, etc."
1786,"It's a great product with many good aspects, it easy to setup and control with intuitive straight forward instructions. The included lightbulb was excellent and worked perfectly. I very much enjoy this product and recommend it."
1787,Not that much different than the one we had.  Alexa is still stubborn. LOL.  We ordered it on the Prime day to get the light bulbs with it i the deal but did not get the light bulbs.  When we called she said they were sold out.  Felt bad about that.  Now we have to buy light bulbs.
1788,To have ability to play Amazon Music outside for patio gatherings. I also used blue tooth to connect Echo Plus via Alexa App on my tablet to an external speaker when/if the party extends into the yard. I have plans to connect other devices such as thermostat and other lighting and home devices.
1789,We got this mainly for our son who is currently vision impaired ! it has many good things and setup was fairly easy once I did the first one but they should be easier to setup and come loaded with more stuff ! it should do Text messages to friends easier without them having to download something for it to work and it should link with email and also them common social media like facebook and twitter and others !the whole purpose was to get him back connected to the Web by voice so he wouldn't feel left out and isolated ! they should also have a tech support phone number to call or a way to do direct help to the Echo so tech support can help setup the device ! I had to get a friend whos an IT guy to come help me setup
1790,"I love every aspect of the Echo Plus, I wanted it for my office. The light was also for my desk lamp."
1791,Great hub
1792,"This is very hard to review because I am part of the  problem.I am 75 and got it so my dog would have distracting noise when I am not home.I am computer literate, iTunes literate, Amazon literate, as well as countless other programs, but am apparently a dunce when it comes to talking to Alexa.  I think I heard her sigh in exasperation.I tried to create a playlist of songs I like only to have it ignored.  I am learning workarounds but they are mediocre, at best...and, as yet do not include a personal playlist.I have scoured the beginners section but the beginners it addresses are far more advanced in basic Alexa than am I.So far, I like what I have been able to use but I'd like it a lot more if I could configure it to my needs, rather than accepting the Amazon/Alexa default.Karen"
1793,Very satisfied with the purchase. The package came in good time and was just as expected
1794,great sound easy set up looks cool
1795,Love the Echo Plus!! Much better versatility than the first generation Echo. Intercom and voice-controllable smart bulbs are awesome!
1796,My new BFF!
1797,Alexa didn’t know answers to many questions we asked. For example we asked how many cups in a pound and she said a pound is a form of money
1798,"For now, I love everything. So cool with my music and flash briefings, 5 star Echo"
1799,Great product. I have two and may want to buy a third!
1800,So far we have enjoyed it.  The only problem we have is I have not been able to call one of my sons with it (the sad part is he is the one who gave it to me:( )
1801,Love it
1802,I have had no problems with my Echo Plus. Would purchase it again.
1803,Great
1804,I love it.  You own personal secretary.
1805,"Not perfect but very good! A few times Alexa picked up something from TV, and has a very slight problem with smart home equipment in that she gets confused with what we want to call things. If you call something &#34;light&#34; in the app you need to say light, not &#34;lights.&#34; Echo Plus has no problems as a smart hub but I could use better user directions. Well worth owning and a good step to making my home Smart!"
1806,Pretty cool. I have only begun to figure out things she does.
1807,I have the google home that I really like. The Echo plus I think has even a better sound and am totally happy with it.
1808,I love this device. Makes life easier the more you figure out it can do.
1809, 
1810,"I love my echo plus. I haven't one bad thing to say. It controller music when I need it too. With a great sounding 360 speaker. I also bought a 4k fire TV and it can open Amazon prime video or Netflix at any moment. The included hue lighting makes this product even better. I found myself with a whole array of smart lights perfect for any house or entertainment room. The addition of phone calls on the mic and speaker makes it practical when your busy in the kitchen or on the computer. Alexa will controll it all as soon as you say ""Hey Alexa"". And if the always on mic concerns you well you can always mute the device. This is a must buy for anyone interested in ease and comfort."
1811,"Amazon Music is great. Love the ability to create my only playlists. Has great sound, not up to the standard of our Bose but very good."
1812,Home entertainment.
1813,Great product I just wish it had some sort of equalizer... The bass is a little much
1814,Its work perfect an I must introduce the rest of the device to complete the functions.
1815,"I decided to buy smart door lock and decided on getting the Echo Plus to control it.  I chose a Kwikset 888 because Amazon said it was compatible and I bought 2 Dots while I was at it.  And when I posed the question, somebody in the community said it will work with Alexa.  What I didn't know was the Z-wave lock and Zigbee Alexa hub weren't compatible.  Does any body know of a lock that works seamlessly with Echo Plus?  If not, I guess my choices are: 1. Exchange the Plus for a regular Echo and buy a separate hub like Wink.  2. Return the whole Alexa system and get something else.I  don't want to just buy another hub to use along side my Echo Plus or I'll be back here asking how to integrate two hubs.The reason I kept from buying smart systems up to this point  is because I was afraid they wouldn't operate seamlessly and unfortunately I only do enough research after something doesn't work."
1816,This Echo Plus has proved to be the most innovative improvement in my life!
1817,"I purchased the Amazon Echo Plus on Amazon prime day because I need a hub. I'm in the process of upgrading my home into a smart home. For the same price as some hub's, and even less expensive in some other cases. I got a hub that works with my devices, plus it does a lot more. I haven't even had time to go through all the skills it has, but I've already found myself using many of them. When I started a search for a hub. I wasn't even considering the Echo. In part, because I didn't know it was a hub. But also because I didn't really think I would find much use for another AI system. If you're looking for a hub. Why settle for a plane hub, when you can get a personal assistant that does so much more and yet cost's the same or less than other hubs? Oh! And by the way. For the same price as the Amazon Echo Plus alone. I found one that came bundled with a smart bulb & saw another that came with a smart plug. Given the price of these extras. Well, that just put the Echo Plus over the top."
1818,"I'm so happy that I purchased Alexa.  When I recently saw this at a friend's home, he played some music while talking about the product.  I love the sound & love that all I have to do is tell Alexa or ask a question & she responds immediately.  I haven't been able to listen to my CD's for a while since I have a problem within my stereo equipment for some time now so this makes me extremely happy that it's not an issue any longer."
1819,"After we learned to use this (we are still learning), we are very pleased with Echo Plus"
1820,I Love it !! Used one like this in Philly while visiting my son and decided to buy my own on Prime Day !
1821,The speakers on these devices are surprisingly good. The functionality of each echo device is fantastic.
1822,As advertised.  Connected my smart bulbs with no problems.
1823,It works perfect!
1824,"Love warehouse buys. If this was just in good used condition, then new must be newer than new. Seriously, this one was perfect, not a mark on it anywhere. Great buy!"
1825,Alexa is awesome! The first day I got my Echo Plus I found out things that she can do that I didn’t think were even possible. I highly recommend this product. Along with all the accessories.
1826,Ease of set up. I’ll have fun sitting up other features as well as making my house a smart home.
1827,I try use with yale lock but isn’t work
1828,IT SEEMS TO BE OK BUT THE INSTRUCTIONS ARE WEAK AND I CAN NOT SEEM TO GET IT TO WORK. I AM GOING TO GET MY TECHY FRIEND TO HELP ME OUT AND I WILL UPDATE YOU LATER
1829,"I love everything about it. I love that the echo plus turns on and off my light. It can also dim them with voice commands. I also like listening to my kindle books even the ones that I didn’t purchased  audibles for. I like that it can play my music from Amazon music, pandora, tunein, I heart radio and Spotify. Echo can even play my local radio station. I love that the echo is connected to my TiVo Bolt. This allows TiVo to pause, stop and play whatever I want with a simple voice command. I love that I can reorder items that I purchased on Amazon and that the echo plus notifies me when my order is mailed, when it will be delivered and when the package has been delivered.  The only three dislikes that I have is that if you’re up too close or to far the echo doesn’t respond. So I think they need to improve the microphone. And I wish the speaker was better. The speakers are okay but could be improved. Also I have the echo dot and it never has given me any problems with the internet. Well the other day I received a Red Light Right on my Echo Plus. This error was Sorry I’m having trouble understanding you please try again later. After research online I learned it was a problem connecting to my internet. And it was easy to find this out. And I found it odd that my dot wasn’t having this problem even though they are connected to the same network."
1830,Love everything about this....
1831,Perfect for controlling my tp-link smart devises
1832,Love this thing. Easy to setup and  looking forward to adding more smart devices to my home.
1833,Got it specifically to work with the August Smart Lock and it connected to it with ease.  Definitely ties the Smart Home together.
1834,Sound very nice perfect for the price
1835,Love it it's number 4!
1836,Wonderful product.  Love alexia
1837,It has a nice speaker.
1838,Music mainly but still checking other features
1839,"Very capable.  Language recognition is the best I've experienced.  Great sound, too!"
1840,LOVE .. LOVE my Echo Plus !  So silly simple to set up .  Alexa has now become my new BFF.  Amazon 24/7 Support is hard to beat !!  Any questions answered any time ... What more can you ask for !!!
1841,Its got to be one of the coolest things.
1842,Awesome! Easy set up. Linked right up with my Nexia home automation.
1843,Hands free voice commands and interactions with smart devices around the house makes having an Echo Plus one of the best purchases I’ve made!
1844,Definitely a really good buy for FIRST time buyers of smart home stuff =]I bought 3 =]
1845,I enjoy the various functions of the device
1846,"Alread had Echos and Dots, but the ability to control Philips Hue bulbs nudged me to buy this on Prime Day.  Another fun product from Amazon."
1847,"I purchased the Echo Plus with the Build-in Hub, so I could have the convenience of asking Alexa to turn my lights and lamps on and off.  Philips Hue Light Bulbs were placed in the fixtures that I wanted Alexa to control and they all work great!  I already had an Echo Dot in my Kitchen/Den area, so I placed the Echo Plus with Hub in my bedroom. My radio and lamps in my Kitchen and Den are controlled with TP-Link plugs.  But, the ceiling light fixtures and lamp in my Den and Bedroom have special Philips Hue Light Bulbs that are controlled by the Hub inside the Echo Plus.  I am able to play music, set my alarm, get weather reports and numerous other things on both devices.  The Echo Dot requires a TP-Link plug to be plugged into it and the Echo Plus requires a special Philips Light Bulbs installed in each light fixture to work..  The only thing I dislike is the high price of the light bulbs required to make the lights work. Regular light bulbs placed in the ceiling light fixtures will not work with Alexa and  the Echo Plus with Hub.  Other than the high price of the bulbs, I love my Echo Plus with built in hub!"
1848,Easily configured hub capabilities.  Excellent sound quality for the size of the unit.
1849,Works great in my large open room
1850,Fun
1851,This is outstanding works awesome the music sound very clear and loud and Alexa is very smart
1852,I bought this specifically for the smart hub capability. So far it has been great. Easy set up instructions for all the various brands compatible with it.
1853,"The sound is wonderful and it just plain works. I wish it cost less, but it is worth the cost. (especially on Prime Day)"
1854,Comes with a hub.  Got it during prime day for $99 and a hue white bulb.  Works great.  Now I can add more stuff that required a hub!
1855,"Got it for the smart hub and does exactly was it says, turn lights on and off, arm and disarm my security system and the thermostat is next.  Great.product!"
1856,"Very easy to set up, great sound."
1857,So far it's been very useful. Trying to learn all the ways to use Alexa .
1858,works better than I thought
1859,"Loved all about it, all I can do with it and it looks good."
1860,Great product and fast shipping. Thank you
1861,"It's fun to imagine the household management options ...Some info questions baffle Alexa, but other options are cool - esp. music-related ..."
1862,Easy to set up and works like it's supposed to.
1863,"Love it, very easy to set up.love that you can request just about anything on your mind and it works on giving you useful information."
1864,Great product. More skills are needed. I love it.
1865,My first smart buy..I am loving it and all the great things Alexa can do.
1866,"This thing is awesome!  I got it on Prime Day for a great deal.  I wish I had purchased two.  I also bought the Echo Show version, but the sound is not nearly as good as the Echo Plus.  The Echo Show came dented, so I will be exchanging it.  I like the screen and many of the features so I will not be getting a refund.  It was still worth the price."
1867,Is great having a new friend
1868,Coop product many uses including smart devices throughout the home
1869,"Easy setup with great sound, I would rate this unit a 10 +++++, and a must have for the office and home. l am looking add other devices (locks, and lights) for my home."
1870,Better than expected!
1871,"Wonderful, still learning how to use. Had a heck of a time setting it up, but is happened somehow."
1872,It's fantastic. Very happy with the purchase.
1873,Love it!!!
1874,I like the list ability and the music I can play.  I do not like that I can not create a playlist without using the app and even then Alexa will not play my songs I have to do it through my tablet or phone.  I also do not like that Alex can not print again it has to be done through the app.
1875,"It is a great bundle of fun. Music ,games, questions etc. I luv it turns off my smart lights. I purchase 4 more smart light for my lamps in the living room and my room!"
1876,First time using Alexa and so far I love it.
1877,"It was a little hard to follow their instructions, great product"
1878,"This was a replacement. It was really easy to set up. I had to reauthorize my smart items to work with the new hub, but installation was easy and instructions were clear."
1879,Really cool device that does a ton of stuff. Fun games like Jeopardy. We used this to set up smart bulbs and light switches. Make sure you ge the stuff that corresponds with this particular hub. Had to make a few runs back to the store for exchanges.
1880,"I’ve been waiting for Prime Day to purchase an Echo Plus and now, I’m enjoying learning what Alexa can do. With a new Sonos One and an Echo Dot, I have the makings of a really nice and well-integrated smart home. Love it!"
1881,"I haven't had it very long, but so far our whole family is enjoying asking Alexa questions!"
1882,"Although this is my second echo device, I am still very disappointed that there is almost no documentation/instructions as to the many functions of the device.  I purchased becausse of the sound quality, but only found out it has bluetooth capabilities last night by accident.  There needs to be a manual that details all of the functionality of the device.  Or at least point out where it can be found..."
1883,"The Echoplus is a great extension for the Echo Dots in our home. I am a little disappointed that Alexa is not as good at information requests as Google. But as a start on home automation, she is very impressive."
1884,I never had ALEXA before but the biggest reason I bought it was for YOUTUBE and apparently YOUTUBE stopped supporting it and that is why it will get 4 stars.... it's mostly YOUTUBE's FAULT but I worked around it by using my cell phone as a blue tooth connected to hear things but still takes the voice activate purpose away but the speaker is amazing to hear my youtube watch later playlist
1885,Awesome!! Loving Alexa
1886,no habla espanol
1887,Love the music the stories
1888,It is fantastic.
1889,Like it but it will take time to setup all the skills I want simply because there are so many. I already use music and Flash Briefing daily. Very satisfied. I use this along with Alexa app on my Kindle hd8
1890,"Wish it would have came with the lightbulb, but otherwise works great, fast delivery, and I enjoy using it!"
1891,"Still haven’t learn all the Echo can do, but so far, quite pleased!"
1892,Love it!
1893,I can receive my CPR classical station.  Great sound.What I like least is the learning curve and my mistakes.
1894,"Sounds well and we find it useful overall but it can be frustrating when it doesn’t respond or you forget the correct command.  “Alexa, turn on the living room lights”.  Oops I mean “Alexa turn on the family room lights”. I also never realized I call my couch a sofa some times.  Unfortunately my Alexa is confused by my changing names for where I sit."
1895,no it is broke and I can't get help fixing or replacing it
1896,"I’m still unable to connect any devices although it says it has a built in hub. So bought a bridge to connect the devices thinking that everything would sync and my other devices are still not discovered via my echo plus and I was looking forward to this feature. Being able to play music, check the weather etc is fine."
1897,sounds great have not used the hub yet
1898,"Is as expected and more, responds very fast to given commands and was very easy to connect via the Amazon App. I also bought the PhilipsHue Light Bulb and all I had to do was put it in my lamp and tell Alexa to find my device and it connected and the lamp now turns on and off with voice commands."
1899,Sound is better
1900,It is as if we are having a conversation with another person.  Instantaneous response.  And the fact that it catches your command even when you're far from it is simply just amazing.
1901,Although I haven't taken advantage of many of the Echo's features there is one that bothers me. It starts talking even when I haven't said anything even close to the wake up word - ECHO - had to change from Alexa due to a conflict with another device.
